Flight No.,Payload,Orbit,Customer,Launch site,Payload mass,Launch outcome,Version Booster,Booster landing,Date,Time
116,Starlink,GTO,Telesat,KSC,"15,600 kg",Success,F9 B5,Success,22 July 2018,05:50
117,Starlink,Polar,Iridium Communications,CCSFS,"15,600 kg",Success,F9 B5,Success,25 July 2018,11:39
118,Starlink,Polar,Iridium Communications,KSC,"~14,000 kg",Success,F9 B5,Success,25 July 2018,11:39
119,Starlink,GTO,Telkom Indonesia,CCSFS,"15,600 kg",Success,F9 B5,Success,7 August 2018,05:18
120,SpaceX CRS-22,GTO,Telkom Indonesia,KSC,"3,328 kg",Success,F9 B5,Success,7 August 2018,05:18
121,SXM-8,GTO,Telesat,CCSFS,"7,000 kg",Success,F9 B5,Success,10 September 2018,04:45
,,GTO,Telesat,,,Success,,Success,10 September 2018,04:45
,,SSO,CONAE,,,Success,,Success,8 October 2018,02:22
,,SSO,CONAE,,,Success,,Success,8 October 2018,02:22
,,GTO,Es'hailSat,,,Success,,Success,15 November 2018,20:46
,,GTO,Es'hailSat,,,Success,,Success,15 November 2018,20:46
,,SSO,Spaceflight Industries,,,Success,,Success,3 December 2018,18:34:05
,,SSO,Spaceflight Industries,,,Success,,Success,3 December 2018,18:34:05
,,LEO,NASA,,,Success,,Failure,5 December 2018,18:16
,,LEO,NASA,,,"Success
",,Failure,5 December 2018,18:16
,,MEO,USAF,,,Success,,No attempt,23 December 2018,13:51
,,MEO,USAF,,,Success,,No attempt,23 December 2018,13:51
,,Polar,Iridium Communications,,,Success,,Success,11 January 2019,15:31
,,Polar,Iridium Communications,,,"Success
",,Success,11 January 2019,15:31
,,GTO,PSN,,,Success,,Success,22 February 2019,01:45
,,GTO,PSN,,,"Success
",,Success,22 February 2019,01:45
,,LEO,NASA,,,Success,,Success,2 March 2019,07:49
,,LEO,NASA,,,"Success
",,Success,2 March 2019,07:49
,,LEO,NASA,,,Success,,Success,4 May 2019,06:48
,,LEO,NASA,,,"Success
",,Success,4 May 2019,06:48
,,LEO,SpaceX,,,Success,,Success,24 May 2019,02:30
,,LEO,SpaceX,,,"Success
",,Success,24 May 2019,02:30
,,SSO,Canadian Space Agency,,,Success,,Success,12 June 2019,14:17
,,SSO,Canadian Space Agency,,,"Success
",,Success,12 June 2019,14:17
,,LEO,NASA,,,Success,,Success,25 July 2019,22:01
,,LEO,NASA,,,"Success
",,Success,25 July 2019,22:01
,,GTO,Spacecom,,,Success,,No attempt,6 August 2019,23:23
,,GTO,Spacecom,,,"Success
",,No attempt,6 August 2019,23:23
,,LEO,SpaceX,,,Success,,Success,11 November 2019,14:56
,,LEO,SpaceX,,,"Success
",,Success,11 November 2019,14:56
,,LEO,NASA,,,Success,,Success,5 December 2019,17:29
,,LEO,NASA,,,"Success
",,Success,5 December 2019,17:29
,,GTO,Sky Perfect JSAT,,,Success,,Success,17 December 2019,00:10
,,GTO,Sky Perfect JSAT,,,"Success
",,Success,17 December 2019,00:10
,,LEO,SpaceX,,,Success,,Success,7 January 2020,02:19:21
,,LEO,SpaceX,,,"Success
",,Success,7 January 2020,02:19:21
,,Sub-orbital,NASA,,,Success,,No attempt,19 January 2020,15:30
,,Sub-orbital,NASA,,,"Success
",,"No attempt
",19 January 2020,15:30
,,LEO,SpaceX,,,Success,,Success,29 January 2020,14:07
,,LEO,SpaceX,,,"Success
",,Success,29 January 2020,14:07
,,LEO,SpaceX,,,Success,,Failure,17 February 2020,15:05
,,LEO,SpaceX,,,"Success
",,Failure,17 February 2020,15:05
,,LEO,NASA,,,Success,,Success,7 March 2020,04:50
,,LEO,NASA,,,"Success
",,Success,7 March 2020,04:50
,,LEO,SpaceX,,,Success,,Failure,18 March 2020,12:16
,,LEO,SpaceX,,,"Success
",,Failure,18 March 2020,12:16
,,LEO,SpaceX,,,Success,,Success,22 April 2020,19:30
,,LEO,SpaceX,,,"Success
",,Success,22 April 2020,19:30
,,LEO,NASA,,,Success,,Success,30 May 2020,19:22
,,LEO,NASA,,,"Success
",,Success,30 May 2020,19:22
,,LEO,SpaceX,,,Success,,Success,4 June 2020,01:25
,,LEO,SpaceX,,,"Success
",,Success,4 June 2020,01:25
,,LEO,SpaceX,,,Success,,Success,13 June 2020,09:21
,,LEO,SpaceX,,,"Success
",,Success,13 June 2020,09:21
,,MEO,U.S. Space Force,,,Success,,Success,30 June 2020,20:10:46
,,MEO,U.S. Space Force,,,"Success
",,Success,30 June 2020,20:10:46
,,GTO,Republic of Korea Army,,,Success,,Success,20 July 2020,21:30
,,GTO,Republic of Korea Army,,,"Success
",,Success,20 July 2020,21:30
,,LEO,SpaceX,,,Success,,Success,7 August 2020,05:12
,,LEO,SpaceX,,,"Success
",,Success,7 August 2020,05:12
,,LEO,SpaceX,,,Success,,Success,18 August 2020,14:31
,,LEO,SpaceX,,,"Success
",,Success,18 August 2020,14:31
,,SSO,CONAE,,,Success,,Success,30 August 2020,23:18
,,SSO,CONAE,,,"Success
",,Success,30 August 2020,23:18
,,LEO,SpaceX,,,Success,,Success,3 September 2020,12:46:14
,,LEO,SpaceX,,,"Success
",,Success,3 September 2020,12:46:14
,,LEO,SpaceX,,,Success,,Success,6 October 2020,11:29:34
,,LEO,SpaceX,,,"Success
",,Success,6 October 2020,11:29:34
,,LEO,SpaceX,,,Success,,Success,18 October 2020,12:25:57
,,LEO,SpaceX,,,"Success
",,Success,18 October 2020,12:25:57
,,LEO,SpaceX,,,Success,,Success,24 October 2020,15:31:34
,,LEO,SpaceX,,,"Success
",,Success,24 October 2020,15:31:34
,,MEO,USSF,,,Success,,Success,5 November 2020,23:24:23
,,MEO,USSF,,,"Success
",,Success,5 November 2020,23:24:23
,,LEO,NASA,,,Success,,Success,16 November 2020,00:27
,,LEO,NASA,,,"Success
",,Success,16 November 2020,00:27
,,LEO,NASA,,,Success,,Success,21 November 2020,17:17:08
,,LEO,NASA,,,"Success
",,Success,21 November 2020,17:17:08
,,LEO,SpaceX,,,Success,,Success,25 November 2020,02:13
,,LEO,SpaceX,,,"Success
",,Success,25 November 2020,02:13
,,LEO,NASA,,,Success,,Success,6 December 2020,16:17:08
,,LEO,NASA,,,"Success
",,Success,6 December 2020,16:17:08
,,GTO,Sirius XM,,,Success,,Success,13 December 2020,17:30:00
,,GTO,Sirius XM,,,"Success
",,Success,13 December 2020,17:30:00
,,LEO,NRO,,,Success,,Success,19 December 2020,14:00:00
,,LEO,NRO,,,"Success
",,Success,19 December 2020,14:00:00
,,GTO,Türksat,,,Success,,Success,8 January 2021,02:15
,,GTO,Türksat,,,"Success
",,Success,8 January 2021,02:15
,,LEO,SpaceX,,,Success,,Success,20 January 2021,13:02
,,LEO,SpaceX,,,"Success
",,Success,20 January 2021,13:02
,,SSO,Various,,,Success,,Success,24 January 2021,15:00
,,SSO,Various,,,"Success
",,Success,24 January 2021,15:00
,,LEO,SpaceX,,,Success,,Success,4 February 2021,06:19
,,LEO,SpaceX,,,"Success
",,Success,4 February 2021,06:19
,,LEO,SpaceX,,,Success,,Failure,16 February 2021,03:59:37
,,LEO,SpaceX,,,"Success
",,Failure,16 February 2021,03:59:37
,,LEO,SpaceX,,,Success,,Success,4 March 2021,08:24
,,LEO,SpaceX,,,"Success
",,Success,4 March 2021,08:24
,,LEO,SpaceX,,,Success,,Success,11 March 2021,08:13:29
,,LEO,SpaceX,,,"Success
",,Success,11 March 2021,08:13:29
,,LEO,SpaceX,,,Success,,Success,14 March 2021,10:01
,,LEO,SpaceX,,,"Success
",,Success,14 March 2021,10:01
,,LEO,SpaceX,,,Success,,Success,24 March 2021,08:28
,,LEO,SpaceX,,,"Success
",,Success,24 March 2021,08:28
,,LEO,SpaceX,,,Success,,Success,7 April 2021,16:34
,,LEO,SpaceX,,,"Success
",,Success,7 April 2021,16:34
,,LEO,NASA,,,Success,,Success,23 April 2021,9:49
,,LEO,NASA,,,"Success
",,Success,23 April 2021,9:49
,,LEO,SpaceX,,,Success,,Success,29 April 2021,03:44
,,LEO,SpaceX,,,"Success
",,Success,29 April 2021,03:44
,,LEO,SpaceX,,,Success,,Success,4 May 2021,19:01
,,LEO,SpaceX,,,"Success
",,Success,4 May 2021,19:01
,,LEO,SpaceX,,,Success,,Success,9 May 2021,06:42
,,LEO,SpaceX,,,"Success
",,Success,9 May 2021,06:42
,,LEO,SpaceX,,,Success,,Success,15 May 2021,22:56
,,LEO,SpaceX,,,"Success
",,Success,15 May 2021,22:56
,,LEO,SpaceX,,,Success,,Success,26 May 2021,18:59
,,LEO,SpaceX,,,"Success
",,Success,26 May 2021,18:59
,,LEO,NASA,,,Success,,Success,3 June 2021,17:29
,,LEO,NASA,,,"Success
",,Success,3 June 2021,17:29
,,GTO,Sirius XM,,,Success,,Success,6 June 2021,04:26
,,GTO,Sirius XM,,,"Success
",,Success,6 June 2021,04:26
